Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
66,4.8,3.0,1.4,0.3,Iris-setosa
67,5.7,4.4,1.5,0.4,Iris-setosa
68,6.0,2.2,4.0,1.0,Iris-versicolor
69,5.5,2.3,4.0,1.3,Iris-versicolor
70,5.0,3.4,1.6,0.4,Iris-setosa
71,5.0,3.2,1.2,0.2,Iris-setosa
72,6.7,3.0,5.2,2.3,Iris-virginica
73,6.3,3.4,5.6,2.4,Iris-virginica
74,5.9,3.0,4.2,1.5,Iris-versicolor
75,5.1,3.3,1.7,0.5,Iris-setosa
76,4.6,3.2,1.4,0.2,Iris-setosa
77,6.4,2.9,4.3,1.3,Iris-versicolor
78,7.2,3.6,6.1,2.5,Iris-virginica
79,5.5,4.2,1.4,0.2,Iris-setosa
80,5.4,3.0,4.5,1.5,Iris-versicolor
81,4.7,3.2,1.3,0.2,Iris-setosa
82,6.4,3.2,4.5,1.5,Iris-versicolor
83,7.7,3.8,6.7,2.2,Iris-virginica
84,4.9,3.1,1.5,0.1,Iris-setosa
85,5.1,3.5,1.4,0.2,Iris-setosa
86,6.4,3.1,5.5,1.8,Iris-virginica
87,4.4,2.9,1.4,0.2,Iris-setosa
88,5.2,3.4,1.4,0.2,Iris-setosa
89,6.3,2.5,5.0,1.9,Iris-virginica
90,5.8,2.7,4.1,1.0,Iris-versicolor
91,6.3,2.7,4.9,1.8,Iris-virginica
92,4.4,3.2,1.3,0.2,Iris-setosa
93,4.7,3.2,1.6,0.2,Iris-setosa
94,5.1,3.4,1.5,0.2,Iris-setosa
95,5.1,3.8,1.5,0.3,Iris-setosa
96,4.8,3.4,1.9,0.2,Iris-setosa
97,6.7,3.3,5.7,2.5,Iris-virginica
98,6.0,2.2,5.0,1.5,Iris-virginica
99,5.0,3.6,1.4,0.2,Iris-setosa
100,6.1,3.0,4.9,1.8,Iris-virginica
101,5.5,2.6,4.4,1.2,Iris-versicolor
102,6.5,3.2,5.1,2.0,Iris-virginica
103,6.2,2.2,4.5,1.5,Iris-versicolor
104,6.1,2.9,4.7,1.4,Iris-versicolor
105,4.8,3.0,1.4,0.1,Iris-setosa
106,6.3,2.9,5.6,1.8,Iris-virginica
107,6.6,3.0,4.4,1.4,Iris-versicolor
108,5.5,2.5,4.0,1.3,Iris-versicolor
109,6.4,2.8,5.6,2.1,Iris-virginica
110,6.0,2.7,5.1,1.6,Iris-versicolor
111,5.5,2.4,3.8,1.1,Iris-versicolor
112,6.7,3.1,5.6,2.4,Iris-virginica
113,5.6,2.8,4.9,2.0,Iris-virginica
114,6.2,2.8,4.8,1.8,Iris-virginica
115,7.0,3.2,4.7,1.4,Iris-versicolor
116,6.7,3.1,4.4,1.4,Iris-versicolor
117,5.1,3.5,1.4,0.3,Iris-setosa
118,5.7,2.6,3.5,1.0,Iris-versicolor
119,4.4,3.0,1.3,0.2,Iris-setosa
120,6.1,2.8,4.7,1.2,Iris-versicolor
121,5.0,2.0,3.5,1.0,Iris-versicolor
122,5.0,3.5,1.6,0.6,Iris-setosa
123,6.9,3.1,5.4,2.1,Iris-virginica
124,7.7,2.6,6.9,2.3,Iris-virginica
125,5.2,3.5,1.5,0.2,Iris-setosa
126,5.8,2.7,3.9,1.2,Iris-versicolor
127,5.7,3.0,4.2,1.2,Iris-versicolor
128,5.1,3.7,1.5,0.4,Iris-setosa
129,7.2,3.2,6.0,1.8,Iris-virginica
130,5.6,3.0,4.1,1.3,Iris-versicolor
131,6.5,2.8,4.6,1.5,Iris-versicolor
132,5.7,2.9,4.2,1.3,Iris-versicolor
133,4.8,3.4,1.6,0.2,Iris-setosa
134,4.9,3.0,1.4,0.2,Iris-setosa
135,7.2,3.0,5.8,1.6,Iris-virginica
136,5.1,2.5,3.0,1.1,Iris-versicolor
137,6.4,2.8,5.6,2.2,Iris-virginica
138,5.9,3.2,4.8,1.8,Iris-versicolor
139,6.6,2.9,4.6,1.3,Iris-versicolor
140,4.9,3.1,1.5,0.1,Iris-setosa
141,5.4,3.4,1.7,0.2,Iris-setosa
142,6.1,2.6,5.6,1.4,Iris-virginica
143,4.6,3.6,1.0,0.2,Iris-setosa
144,5.0,2.3,3.3,1.0,Iris-versicolor
145,5.8,2.7,5.1,1.9,Iris-virginica
146,4.6,3.4,1.4,0.3,Iris-setosa
147,5.6,3.0,4.5,1.5,Iris-versicolor
148,6.1,2.8,4.0,1.3,Iris-versicolor
149,6.2,3.4,5.4,2.3,Iris-virginica
